metode;size;bit;pca ;tipe kernel;c;acc
bsif;15x15;7;1;linear;1;98,958
bsif;15x15;12;0,6;linear;10;98,958
bsif;15x15;11;0,4;linear;1;98,958
bsif;15x15;7;0,6;linear;10;98,906
bsif;15x15;12;0,6;linear;100;98,906
bsif;13x13;9;0,8;linear;100;98,906
bsif;13x13;9;0,8;linear;10;98,906
bsif;13x13;9;0,8;linear;1;98,906
bsif;15x15;7;0,6;linear;100;98,854
bsif;15x15;7;0,6;linear;1;98,854
bsif;15x15;8;0,4;linear;100;98,854
bsif;15x15;8;0,4;linear;10;98,854
bsif;15x15;8;0,4;linear;1;98,854
bsif;13x13;10;1;linear;100;98,854
bsif;13x13;10;0,8;linear;100;98,854
bsif;13x13;10;1;linear;10;98,854
bsif;13x13;10;0,8;linear;10;98,854
bsif;13x13;10;1;linear;1;98,854
bsif;13x13;10;0,8;linear;1;98,854
bsif;15x15;7;0,8;linear;100;98,854
bsif;15x15;7;0,8;linear;10;98,854
bsif;15x15;7;0,8;linear;1;98,854
bsif;15x15;12;0,6;linear;1;98,854
bsif;13x13;9;0,6;linear;10;98,802
bsif;17x17;10;0,2;linear;10;98,802
bsif;13x13;9;0,6;linear;100;98,75
bsif;13x13;9;0,6;linear;1;98,75
bsif;17x17;7;0,4;linear;100;98,698
bsif;17x17;7;0,4;linear;10;98,698
bsif;17x17;7;0,4;linear;1;98,698
bsif;13x13;11;1;linear;100;98,698
bsif;13x13;11;1;linear;10;98,698
bsif;13x13;11;1;linear;1;98,698
bsif;13x13;11;0,8;linear;100;98,698
bsif;13x13;11;0,8;linear;10;98,698
bsif;13x13;11;0,8;linear;1;98,698
bsif;17x17;10;0,2;linear;100;98,698
bsif;17x17;10;0,2;linear;1;98,698
bsif;17x17;9;0,2;linear;1;98,646
bsif;17x17;6;1;linear;100;98,646
bsif;17x17;6;1;linear;10;98,646
bsif;17x17;6;1;linear;1;98,646
bsif;15x15;6;0,8;linear;100;98,594
bsif;15x15;6;0,8;linear;10;98,594
bsif;15x15;6;0,8;linear;1;98,594
bsif;17x17;6;0,8;linear;100;98,594
bsif;17x17;6;0,8;linear;10;98,594
bsif;17x17;6;0,8;linear;1;98,594
bsif;17x17;6;0,6;linear;100;98,594
bsif;17x17;6;0,6;linear;10;98,594
bsif;17x17;6;0,6;linear;1;98,594
bsif;15x15;6;1;linear;100;98,542
bsif;15x15;6;1;linear;10;98,542
bsif;15x15;6;1;linear;1;98,542
bsif;17x17;11;0,2;linear;1;98,542
bsif;17x17;9;0,2;linear;100;98,542
bsif;17x17;9;0,2;linear;10;98,542
bsif;17x17;11;0,2;linear;100;98,542
bsif;17x17;11;0,2;linear;10;98,542
bsif;13x13;10;0,6;linear;100;98,542
bsif;13x13;10;0,6;linear;10;98,542
bsif;13x13;10;0,6;linear;1;98,542
bsif;13x13;11;0,6;linear;10;98,49
bsif;13x13;11;0,6;linear;1;98,49
bsif;13x13;11;0,6;linear;100;98,438
bsif;17x17;5;0,6;linear;100;98,438
bsif;17x17;5;0,6;linear;10;98,438
bsif;17x17;5;0,6;linear;1;98,438
bsif;17x17;5;0,8;linear;100;98,385
bsif;17x17;5;0,8;linear;10;98,385
bsif;17x17;5;0,8;linear;1;98,385
