metode;size;bit;pca;tipe kernel;c;acc
mtcd+bsif;17x17;8;0,8;linear;100;99,948
mtcd+bsif;17x17;8;0,6;linear;100;99,948
mtcd+bsif;17x17;8;0,4;linear;100;99,948
mtcd+bsif;17x17;8;1;linear;10;99,948
mtcd+bsif;17x17;8;0,8;linear;10;99,948
mtcd+bsif;17x17;8;0,6;linear;10;99,948
mtcd+bsif;17x17;8;0,4;linear;10;99,948
mtcd+bsif;17x17;8;1;linear;1;99,948
mtcd+bsif;17x17;8;0,8;linear;1;99,948
mtcd+bsif;17x17;8;0,6;linear;1;99,948
mtcd+bsif;17x17;8;0,4;linear;1;99,948
mtcd+bsif;13x13;12;1;linear;100;99,948
mtcd+bsif;13x13;12;0,8;linear;100;99,948
mtcd+bsif;13x13;12;0,6;linear;100;99,948
mtcd+bsif;13x13;12;1;linear;10;99,948
mtcd+bsif;13x13;12;0,8;linear;10;99,948
mtcd+bsif;13x13;12;0,6;linear;10;99,948
mtcd+bsif;13x13;12;1;linear;1;99,948
mtcd+bsif;13x13;12;0,8;linear;1;99,948
mtcd+bsif;13x13;12;0,6;linear;1;99,948
mtcd+bsif;15x15;11;1;linear;100;99,948
mtcd+bsif;15x15;11;0,8;linear;100;99,948
mtcd+bsif;15x15;11;0,6;linear;100;99,948
mtcd+bsif;15x15;11;0,4;linear;100;99,948
mtcd+bsif;15x15;11;1;linear;10;99,948
mtcd+bsif;15x15;11;0,8;linear;10;99,948
mtcd+bsif;15x15;11;0,6;linear;10;99,948
mtcd+bsif;15x15;11;0,4;linear;10;99,948
mtcd+bsif;15x15;11;1;linear;1;99,948
mtcd+bsif;15x15;11;0,8;linear;1;99,948
mtcd+bsif;15x15;11;0,6;linear;1;99,948
mtcd+bsif;15x15;11;0,4;linear;1;99,948
mtcd+bsif;17x17;11;0,2;linear;100;99,948
mtcd+bsif;17x17;11;0,4;linear;10;99,948
mtcd+bsif;17x17;11;0,2;linear;10;99,948
mtcd+bsif;17x17;11;0,2;linear;1;99,948
mtcd+bsif;17x17;10;0,2;linear;100;99,948
mtcd+bsif;17x17;10;0,2;linear;10;99,948
mtcd+bsif;17x17;10;0,2;linear;1;99,948
mtcd+bsif;17x17;9;0,2;linear;100;99,948
mtcd+bsif;17x17;9;0,2;linear;10;99,948
mtcd+bsif;17x17;9;0,2;linear;1;99,948
mtcd+bsif;13x13;11;1;linear;100;99,948
mtcd+bsif;13x13;11;0,8;linear;100;99,948
mtcd+bsif;13x13;11;0,6;linear;100;99,948
mtcd+bsif;13x13;11;1;linear;10;99,948
mtcd+bsif;13x13;11;0,8;linear;10;99,948
mtcd+bsif;13x13;11;0,6;linear;10;99,948
mtcd+bsif;13x13;11;1;linear;1;99,948
mtcd+bsif;13x13;11;0,8;linear;1;99,948
mtcd+bsif;13x13;11;0,6;linear;1;99,948
mtcd+bsif;17x17;6;1;linear;100;99,896
mtcd+bsif;17x17;6;0,8;linear;100;99,896
mtcd+bsif;17x17;6;0,6;linear;100;99,896
mtcd+bsif;17x17;6;0,4;linear;100;99,896
mtcd+bsif;17x17;6;1;linear;10;99,896
mtcd+bsif;17x17;6;0,8;linear;10;99,896
mtcd+bsif;17x17;6;0,6;linear;10;99,896
mtcd+bsif;17x17;6;0,4;linear;10;99,896
mtcd+bsif;17x17;6;1;linear;1;99,896
mtcd+bsif;17x17;6;0,8;linear;1;99,896
mtcd+bsif;17x17;6;0,6;linear;1;99,896
mtcd+bsif;17x17;6;0,4;linear;1;99,896
mtcd+bsif;13x13;8;1;linear;100;99,896
mtcd+bsif;13x13;8;0,8;linear;100;99,896
mtcd+bsif;13x13;8;1;linear;10;99,896
mtcd+bsif;13x13;8;0,8;linear;10;99,896
mtcd+bsif;13x13;8;1;linear;1;99,896
mtcd+bsif;13x13;8;0,8;linear;1;99,896
mtcd+bsif;9x9;7;1;linear;100;99,896
mtcd+bsif;9x9;7;0,8;linear;100;99,896
mtcd+bsif;9x9;7;1;linear;10;99,896
